사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
나을헬스케어,,202535.840179252,441604.113261939,2026-04-03 03:03:03,U,13,영업중,2026-04-02 15:07:42,,2025-06-18,,서울특별시 서초구 양재동 ***-*,PHMG120253210034047000132,3210000,"서울특별시 서초구 바우뫼로 **, 단지내상가동 *층 ***호 (양재동)",06751,01,영업/정상,,,,1.65
바로메디칼,,209267.831935403,407233.52541514,2026-04-03 03:03:03,U,13,영업중,2026-04-02 15:27:42,,2022-01-25,,경기도 화성시 동탄구 송동 ***-*,PHMG120225530440047000011,5530000,"경기도 화성시 동탄구 동탄대로*길 **, *층 E***-B**호 (송동)",18497,01,영업/정상,,,,3.3
(주)휴레이포지티브,,202605.525331034,443189.699750908,2026-04-03 03:03:03,U,13,영업중,2026-04-02 15:30:22,,2016-02-16,,서울특별시 서초구 서초동 ****-** 한화생명보험빌딩,PHMG120243210034047000253,3210000,"서울특별시 서초구 강남대로 ***, 한화생명보험빌딩 **층 일부호 (서초동)",06628,01,영업/정상,,,02-514-0406,
텔러스헬스 주식회사,,190980.657371441,442547.689997913,2026-04-03 03:03:03,U,13,영업중,2026-04-02 09:56:06,,2016-07-26,,,PHMG120163160034047000074,3160000,"서울특별시 구로구 디지털로**길 **, **층 ****호 (구로동, 코오롱싸이언스밸리*차)",08378,01,영업/정상,,,32827972,
(주)네오아시아,,210986.460698452,441725.293491662,2026-04-03 03:03:03,U,15,전출,2026-04-02 15:44:01,,2023-10-31,,서울특별시 송파구 문정동 *** 가든파이브라이프,PHMG120243230034047000047,3230000,"서울특별시 송파구 충민로 **, 가든파이브라이프 *층 에프-****호 (문정동)",05838,05,제외/삭제/전출,,,,
도리앙,2026-03-27,144311.23215936,440300.806853262,2026-04-03 03:03:03,U,03,폐업,2026-04-02 14:08:46,,2025-03-06,,인천광역시 중구 을왕동 ***,PHMG120253490019047000002,3490000,"인천광역시 중구 용유서로 ***, *층 (을왕동)",22383,03,폐업,,,,165
시유포승프라자점,2026-04-02,186108.149556364,387063.038023316,2026-04-03 03:03:03,U,03,폐업,2026-04-02 16:16:07,,2022-02-14,,경기도 평택시 포승읍 도곡리 ****-* 포승프라자,PHMG120223910168047000103,3910000,"경기도 평택시 포승읍 평택항로***번길 **, 포승프라자 ***호",17955,03,폐업,,,,3.3
세븐일레븐 평내삼거리점,2026-04-01,220911.024468217,460864.073029962,2026-04-03 03:03:03,U,03,폐업,2026-04-02 16:17:13,,2022-02-07,,경기도 남양주시 평내동 ***-* 중앙빌딩,PHMG120223990309047000043,3990000,"경기도 남양주시 경춘로****번길 *, 중앙빌딩 ***,***호 (평내동)",12218,03,폐업,,,,55.3
