사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
튼튼약국,,192028.41586192,452265.952165442,2026-04-03 22:02:19,I,0000,정상,2026-04-02 10:29:24,,2026-04-02,,,서울특별시 서대문구 북가좌동 481 DMC 래미안 e편한세상 103동,312000001120260004,3120000,000,"서울특별시 서대문구 수색로 100, 103동 1층 (북가좌동, DMC 래미안 e편한세상)",03709,,01,영업/정상,,,02-304-1179
우리정문약국,,172919.707499151,435452.457207252,2026-04-03 23:08:49,I,0000,정상,2026-04-02 16:01:32,,2026-04-02,,,인천광역시 연수구 연수동 532 대림아파트 상가동 110호,352000001120260002,3520000,000,"인천광역시 연수구 원인재로 286, 대림아파트 상가동 110호 (연수동)",21937,,01,영업/정상,,,
이웃사랑힐스,2026-04-01,189727.2146132,444999.461907513,2026-04-03 03:03:03,U,0002,폐업,2026-04-02 16:31:39,,2024-08-06,,,서울특별시 구로구 신도림동 433-24 힐스테이트 신도림역 센트럴,316000001120240011,3160000,000,"서울특별시 구로구 경인로 625, 힐스테이트 신도림역 센트럴 1층 111호 (신도림동)",08210,,03,폐업,,,
신천프라자약국,2026-04-01,180846.323596369,437687.850239716,2026-04-03 03:03:03,U,0002,폐업,2026-04-02 14:34:04,,2018-09-18,60,,경기도 시흥시 신천동 712-9 신천프라자,401000001120180008,4010000,000,"경기도 시흥시 수인로 3372, 신천프라자 (신천동)",14910,,03,폐업,,,031-404-9311
