영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,(주)에스피씨지에프에스 삼립시화식당,위탁급식영업,,174724.379469792,427059.694612941,2026-04-03 03:03:03,U,01,영업,613,,,,,,,,,2026-04-02 17:04:26,2014-07-28,613.00,429-848,경기도 시흥시 정왕동 1253-5,N,,4010000-120-2014-00009,,4010000,경기도 시흥시 공단1대로 101 (정왕동),15085,01,영업/정상,위탁급식영업,02-2276-5018,,,
,,(주)훼밀리푸드 봉담점,위탁급식영업,,192669.606049048,406247.824723319,2026-04-03 03:03:03,U,01,영업,191,,,,,,,,,2026-04-02 11:32:30,2026-03-20,191.00,,경기도 화성시 효행구 봉담읍 덕우리 185-2 1동 4층 일부호,N,,5750000-120-2026-00007,,5530000,"경기도 화성시 효행구 봉담읍 덕우공단2길 21-5, 1동 4층 일부호",18336,01,영업/정상,위탁급식영업,02-6221-0013,,,상수도(음용)지하수(주방용)겸용
,,티엔티푸드(주) 대한적십자사 서울사무소,위탁급식영업,,198873.417928405,450853.925204031,2026-04-03 22:43:19,I,01,영업,38.02,,,,,,,,,2026-04-02 16:09:21,2026-04-02,38.02,100-043,서울특별시 중구 남산동3가 32-2 대한적십자,N,,3010000-120-2026-00007,,3010000,"서울특별시 중구 소파로 145, 대한적십자 7층 (남산동3가)",04629,01,영업/정상,위탁급식영업,,,,
,,(주)휴먼푸드서비스 박명주정형외과의원,위탁급식영업,,170753.264140724,437809.065141609,2026-04-03 22:43:18,I,01,영업,159.87,,,,,,,,,2026-04-02 12:27:02,2026-04-02,159.87,,인천광역시 미추홀구 학익동 240-47 선정빌딩,N,,3510500-120-2026-00002,,3510500,"인천광역시 미추홀구 학익소로 66, 선정빌딩 지하 1층 (학익동)",22221,01,영업/정상,위탁급식영업,,,,상수도전용
,,주식회사 실버그린푸드,위탁급식영업,,202985.078192228,450591.759883351,2026-04-03 03:03:03,U,01,영업,82,,,,,,,,,2026-04-02 15:02:09,2024-05-30,82.00,133-869,서울특별시 성동구 행당동 320-10 송정요양원,N,,3030000-120-2024-00004,,3030000,"서울특별시 성동구 고산자로8길 5, 송정요양원 (행당동)",04745,01,영업/정상,위탁급식영업,,,,
,,(주)에스피씨지에프에스 SSI Art&Design 국제학교 구내식당,위탁급식영업,,200533.346406877,443203.935143962,2026-04-03 03:03:03,U,01,영업,555,,,,,,,,,2026-04-02 16:28:06,2023-08-23,555.00,137-952,서울특별시 서초구 서초동 1500-1,N,,3210000-120-2023-00011,,3210000,"서울특별시 서초구 서초대로 224, 1층 (서초동)",06655,01,영업/정상,위탁급식영업,,,,
,,㈜에스피씨지에프에스 쿠팡물류 인천14센터 구내식당,위탁급식영업,,166045.36653081,439164.852882805,2026-04-03 03:03:03,U,01,영업,2095.66,,,,,,,,,2026-04-02 17:21:22,2024-01-30,"2,095.66",400-800,인천광역시 중구 항동7가 31-4 물류센터 9층일부,N,,3490000-120-2024-00002,,3490000,"인천광역시 중구 축항대로165번길 20, 물류센터 9층일부 (항동7가)",22335,01,영업/정상,위탁급식영업,02-2276-4224,,,상수도전용
,,(주)에스피씨지에프에스 얀센백신 구내식당,위탁급식영업,,167749.593238897,430032.016720058,2026-04-03 03:03:03,U,01,영업,394.64,,,,,,,,,2026-04-02 15:23:55,2022-01-03,394.64,406-081,인천광역시 연수구 송도동 13-42,N,,3520000-120-2022-00001,,3520000,"인천광역시 연수구 하모니로303번길 23, 지상1층 (송도동)",22014,01,영업/정상,위탁급식영업,,,,
,,(주)에스피씨지에프에스 로지스포트 구내식당,위탁급식영업,,165848.473861556,444693.815639697,2026-04-03 03:03:03,U,01,영업,741.39,,,,,,,,,2026-04-02 16:06:50,2024-12-03,741.39,404-210,인천광역시 서구 원창동 394-15 창고동 12층일부호,N,,3560000-120-2024-00018,,3560000,"인천광역시 서구 북항단지로 91, 창고동 12층 일부호 (원창동)",22856,01,영업/정상,위탁급식영업,02-2276-4224,,,
,,(주)에스피씨지에프에스 경인교대 인천캠퍼스 식당,위탁급식영업,,174878.267920824,448482.08154146,2026-04-03 03:03:03,U,01,영업,610.39,,,,,,,,,2026-04-02 16:43:07,2020-10-15,610.39,407-753,인천광역시 계양구 계산동 857-87 경인교육대학교,N,,3550000-120-2020-00002,,3550000,"인천광역시 계양구 계산로 62, 경인교육대학교 1층 학생회관호 (계산동)",21044,01,영업/정상,위탁급식영업,042-825-9682,,,상수도전용
,,(주)에스피씨 지에프에스 코스틱폼텍 구내식당,위탁급식영업,,179396.701378362,479622.152336335,2026-04-03 03:03:03,U,01,영업,294,,,,,,,,,2026-04-02 15:01:29,2024-08-05,294.00,413-811,경기도 파주시 월롱면 덕은리 682-3 (주)한국코스틱,N,,4060000-120-2024-00010,,4060000,"경기도 파주시 월롱면 엘지로360번길 120, 7동 지하 1층 일부",10844,01,영업/정상,위탁급식영업,,,,
,,(주)에스피씨지에프에스 윈팩 구내식당,위탁급식영업,,232685.776980406,409020.937139881,2026-04-03 03:03:03,U,01,영업,285.64,,,,,,,,,2026-04-02 17:10:02,2025-05-02,285.64,449-862,경기도 용인시 처인구 백암면 가창리 351-25,N,,5620000-120-2025-00009,,4050000,"경기도 용인시 처인구 백암면 청강가창로 50, D동 4층",17172,01,영업/정상,위탁급식영업,02-2276-4205,,,상수도전용
,,(주)에스피씨지에프에스 한국데리카후레쉬 식당,위탁급식영업,,236488.266165808,423080.398548159,2026-04-03 03:03:03,U,01,영업,96.99,,,,,,,,,2026-04-02 15:04:21,2017-03-22,96.99,467-842,경기도 이천시 신둔면 남정리 343-13 2층,N,,4070000-120-2017-00005,,4070000,경기도 이천시 신둔면 황무로579번길 40-9,17302,01,영업/정상,위탁급식영업,,,,
기타,,(주)에스피씨지에프에스 네오바이오텍 구내식당,위탁급식영업,,278327.948763121,431270.857568698,2026-04-03 03:03:03,U,01,영업,15.95,,,,,자율,,,,2026-04-02 15:41:09,2022-11-21,15.95,,강원특별자치도 원주시 지정면 신평리 1105,N,,4191000-120-2022-00010,,4191000,"강원특별자치도 원주시 지정면 신평로 70, 4층",26351,01,영업/정상,위탁급식영업,,,,상수도전용
,,(주)에스피씨지에프에스 동서울대학교 구내식당,위탁급식영업,,,,2026-04-03 03:03:03,U,01,영업,716.6,,,,,,,,,2026-04-02 17:26:39,2025-08-11,716.60,461-200,경기도 성남시 수정구 복정동 산 42 동서울대학교 2호관 1층 일부호,N,,3790000-120-2025-00004,,3780000,"경기도 성남시 수정구 복정로 76, 동서울대학교 2호관 1층 일부호 (복정동)",13117,01,영업/정상,위탁급식영업,02-2276-4140,,,
기타,,(주)에스피씨지에프에스 경인교대경기캠퍼스식당,위탁급식영업,,,,2026-04-03 03:03:03,U,01,영업,6.71,,,,,,,,,2026-04-02 17:57:01,2020-09-01,6.71,430-739,경기도 안양시 만안구 석수동 6-8 경인교육대학교,N,,3840000-120-2020-00005,,3830000,"경기도 안양시 만안구 삼막로 155, 경인교육대학교 경기캠퍼스학생복지센터 2층 (석수동)",13910,01,영업/정상,위탁급식영업,02-2276-4224,,,상수도전용
