사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,허용보관량,허용보관량내용,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,폐기물처리업별처리구분명,폐기물처리업구분명,폐기물구분명
(주)에스더블유성우,,199915.446306378,403341.192635836,2026-04-03 21:52:04,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-04-02 16:52:32,2026-04-02,,경기도 화성시 효행구 정남면 귀래리 126-3,553000092202600001,5530000,,,경기도 화성시 효행구 정남면 내향안길 237-56,18523,,01,영업/정상,,,031-8047-0402,,수집운반업(건설폐기물),
(주)도성개발,,205921.703469803,450931.561948791,2026-04-03 03:03:03,U,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-04-02 16:10:22,2020-09-21,133-160,서울특별시 성동구 용답동 235-5,303000092200700023,3030000,,,서울특별시 성동구 천호대로 440 (용답동),,,01,영업/정상,,,02-2213-0045,,수집운반업(건설폐기물),
