사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
홈플러스(주),상업용,제조,2026-02-04,186687.131804431,451342.773451086,2026-04-03 03:03:03,U,03,폐업,2026-04-02 15:20:37,2006-11-07,,서울특별시 강서구 가양동 18-24,냉동,2006315012302200058,3150000,서울특별시 강서구 양천로 431 (가양동),,,03,폐업,,
롯데쇼핑(주) 잠실점,,제조,,208589.363343145,445455.90405262,2026-04-03 03:03:03,U,01,영업중,2026-04-02 16:02:05,2017-04-13,,,냉동,2017323023102100001,3230000,서울특별시 송파구 올림픽로 240 (신천동),,,01,영업/정상,,
롯데쇼핑(주) 롯데캐슬플라자,,제조,,208836.192051204,445807.727388799,2026-04-03 03:03:03,U,01,영업중,2026-04-02 16:14:22,2023-05-16,,서울특별시 송파구 신천동 7-18 롯데캐슬골드,냉동,2023323031002100001,3230000,"서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드)",05510,,01,영업/정상,,
(주)한화,주상나지,제조,,166234.100857294,445037.696776419,2026-04-03 03:03:03,U,01,영업중,2026-04-02 14:42:14,2007-09-18,,인천광역시 서구 원창동 244-20,냉동,2007356013702100001,3560000,인천광역시 서구 북항로 268 (원창동),,,01,영업/정상,,
