축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물가공업,꿈꾸는이상 주식회사,식육가공업,,204916.477929551,451365.419162086,2026-04-03 22:14:04,I,0000,정상,2026-04-02 09:49:49,,2026-04-02,0,,서울특별시 동대문구 답십리동 530-27,식육가공업,305000000420260001,3050000,L00,"서울특별시 동대문구 천호대로 327, 5층 (답십리동)",02622,,01,영업/정상,,,
,축산물가공업,라트에프앤비 주식회사,알가공업,,,,2026-04-03 21:02:32,I,0000,정상,2026-04-02 10:46:59,,2026-04-02,241.6,,경기도 남양주시 진접읍 내곡리 599번지 0호,알가공업,641000000420260025,6410000,L00,경기도 남양주시 진접읍 금강로779번길 42,,,01,영업/정상,,,
,축산물가공업,아침주식회사 2공장,식육가공업,2026-04-02,215625.64909708,436819.166080746,2026-04-03 03:03:03,U,0002,폐업,2026-04-02 17:44:45,,2019-04-29,830.8,,경기도 성남시 중원구 상대원동  344번지 12호,식육가공업,641000000420190063,6410000,L00,경기도 성남시 중원구 둔촌대로541번길 20 (상대원동),,,03,폐업,,,031-745-0080
