영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,국제약품(주) EVERYONE,2026-04-02,199333.616108495,448672.475878867,2026-04-03 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-02 14:20:40,2020-11-11,3.00,140-857,서울특별시 용산구 이태원동 ***-*,N,,3020000-134-2020-00150,,3020000,"서울특별시 용산구 회나무로 **, *층 (이태원동)",04344,03,폐업,기타 건강기능식품일반판매업,,,,
,,큐사랑 염색방 일산대화점,2026-04-02,176539.939555897,463114.909282356,2026-04-03 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-02 13:04:05,2023-06-20,,411-802,경기도 고양시 일산서구 대화동 ***-* 나동 *층일부(***호),N,,3940000-134-2023-00459,,3940000,"경기도 고양시 일산서구 고양대로***번길 **, 나동 *층일부(***호) (대화동)",10222,03,폐업,영업장판매,,,,
,,바인커머스,2026-04-02,213565.466072004,449651.659893517,2026-04-03 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-02 15:59:44,2022-02-21,,134-826,서울특별시 강동구 명일동 **,N,,3240000-134-2022-00503,,3240000,"서울특별시 강동구 구천면로 ***, *층 A***호 (명일동)",05271,03,폐업,전자상거래(통신판매업),,,,
,,인셀덤 서울본부 안성,2026-04-01,222862.291075005,389523.3176668,2026-04-03 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-04-02 10:19:07,2022-05-27,16.38,456-260,경기도 안성시 옥산동 ***-*,N,,4080000-134-2022-00096,,4080000,"경기도 안성시 아양*로 **-**, 해송프라자 ***호 (옥산동)",17577,03,폐업,전자상거래(통신판매업),,,,
,,열손가락서로돌봄사회적협동조합,,191315.864271675,431353.475214536,2026-04-03 03:03:03,U,01,영업,0,,,,,,,,,2026-04-02 15:06:44,2020-08-20,,430-843,경기도 안양시 만안구 안양동 ****-* 포거스라인프라자,N,,3830000-134-2020-00198,,3830000,"경기도 안양시 만안구 창박로 **, 포거스라인프라자 *층 ***호 (안양동)",14025,01,영업/정상,기타(복합 등),,,,
,,고릴라스포츠,2026-04-02,190484.542119277,464734.855457053,2026-04-03 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-02 17:08:11,2020-06-08,,412-480,경기도 고양시 덕양구 대자동 ***-**,N,,3940000-134-2020-00303,,3940000,"경기도 고양시 덕양구 호국로****번길 **, ***동 ***호 (대자동)",10282,03,폐업,전자상거래(통신판매업),,,,
