축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물가공업,주식회사 디엔푸드,식육가공업,,188704.467121914,431614.711227247,2026-04-16 03:03:03,U,0000,정상,2026-04-15 17:52:40,,2019-05-13,467.14,,경기도 시흥시 목감동  346번지 5호,식육가공업,641000000420190072,6410000,L00,경기도 시흥시 목감우회로114번길 61 (목감동),,,01,영업/정상,,,031-405-4498
,축산물가공업,주식회사 천수식품,식육가공업,,177078.040152767,424637.209118154,2026-04-16 03:03:03,U,0000,정상,2026-04-15 08:57:03,,2017-06-07,356.78,,경기도 안산시 단원구 성곡동  662번지 10호 라동,식육가공업,641000000420170078,6410000,000,"경기도 안산시 단원구 번영로 178, 라동 (성곡동)",,,01,영업/정상,,,
,축산물가공업,주식회사 베러스쿱크리머리,유가공업,,,,2026-04-16 03:03:03,U,0000,정상,2026-04-15 11:01:26,,2025-03-07,1668.48,,경기도 포천시 가산면 방축리 523번지 1호,유가공업,641000000420250020,6410000,L00,경기도 포천시 가산면 가산로73번길 42,,,01,영업/정상,,,02-410-7146
