건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,시가라(CIGARRA),,200315.525649322,453201.94681626,,영화배급업,2026-04-16 22:40:41,I,13,영업중,,,2023-01-25,,2026-04-15 13:50:59,,2023-01-25,,서울특별시 종로구 동숭동 ***-**,CDFF5211032026000002,3000000,,"서울특별시 종로구 동숭길 **, *층 S**호 (동숭동)",03085,01,영업/정상,,,,,,
,주식회사 씨아이씨미디어,,190461.790473157,442368.090413171,,영화배급업,2026-04-16 22:09:55,I,13,영업중,,,2026-04-15,,2026-04-15 17:51:57,,2026-04-15,,서울특별시 구로구 구로동 ***-** 벽산디지털밸리*차,CDFF5211032026000002,3160000,,"서울특별시 구로구 디지털로**길 **, 벽산디지털밸리*차 ***호 (구로동)",08381,01,영업/정상,,,,,,
