영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,글램,단란주점,,186318.449831744,447470.974728264,2026-04-16 03:03:03,U,01,영업,50.45,,,,,,,,,2026-04-15 17:36:33,2006-11-22,50.45,157-909,서울특별시 강서구 화곡동 901-27 지하 1층,N,,3150000-103-2006-00006,,3150000,"서울특별시 강서구 강서로7길 31, 지하 1층 (화곡동, 1동)",07777,01,영업/정상,단란주점,02-2686-0470,,,
,,다국적 노래바,단란주점,,174246.546777488,437720.86991095,2026-04-16 03:03:03,U,01,영업,73.8,,,,,,,,,2026-04-15 15:45:47,2017-10-16,73.80,405-220,인천광역시 남동구 구월동 1534-2 구월신세계프라자 304호,Y,,3530000-103-2017-00004,,3530000,"인천광역시 남동구 선수촌공원로 25, 3층 304호 (구월동, 구월신세계프라자)",21582,01,영업/정상,단란주점,,,,상수도전용
,,디바노래광장,단란주점,2026-04-15,183645.834885631,422923.243804255,2026-04-16 03:03:03,U,02,폐업,72,,,,,,,,,2026-04-15 16:01:01,2012-03-30,72.00,425-855,경기도 안산시 단원구 초지동 732-1 아트프라자 208호,Y,,5560000-103-2012-00006,,3930000,"경기도 안산시 단원구 광덕1로 62, 208호 (초지동)",15448,03,폐업,단란주점,031-475-6254,,,
유흥업소밀집지역,,명품노래클럽,단란주점,,180554.863778568,442540.858058328,2026-04-16 03:03:03,U,01,영업,142.24,,,,,,,,,2026-04-15 15:31:01,2010-07-27,142.24,,"경기도 부천시 원미구 심곡동 386-11 ,지하1층",Y,,3871000-103-2010-31211,,3860000,"경기도 부천시 원미구 부일로460번길 30 (심곡동,,지하1층)",14637,01,영업/정상,단란주점,,,,상수도전용
