영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,(주)디와이에이 화성2공장,산업체,,180687.359441069,403258.498689345,2026-04-16 03:03:03,U,01,영업,205.4,,,,,,0,0,,2026-04-15 11:51:18,2026-03-16,205.40,,경기도 화성시 만세구 우정읍 호곡리 228-137 제2동 1층 일부,N,,5740000-105-2026-00006,0,5530000,"경기도 화성시 만세구 우정읍 호곡공단로 99-40, 제2동 1층 일부",18558,01,영업/정상,산업체,,,,상수도전용
,,KT경기북부지사,산업체,,205550.908407551,461343.062226682,2026-04-16 03:03:03,U,01,영업,58.71,,,,,,0,0,,2026-04-15 09:52:12,2026-03-30,175.57,139-200,서울특별시 노원구 상계동 723,N,,3100000-105-2026-00002,0,3100000,"서울특별시 노원구 노해로 502, 노원빌딩 본관 4층 (상계동)",01752,01,영업/정상,산업체,,,,
,,평촌트리지아 라온어린이집,어린이집,,195702.352096687,431136.185811752,2026-04-16 03:03:03,U,01,영업,12.3,,,,,,,,,2026-04-15 15:46:08,2026-04-08,17.10,431-837,경기도 안양시 동안구 호계동 926-4 평촌트리지아아파트 2단지,N,,3850000-105-2026-00002,,3830000,"경기도 안양시 동안구 귀인로 110 (호계동, 평촌트리지아아파트 2단지)",14081,01,영업/정상,어린이집,031-477-7760,,,상수도전용
,,페이스대치학원,기타 집단급식소,,204871.72,444418.53,2026-04-16 22:13:09,I,01,영업,0,,,,,,0,0,,2026-04-15 10:43:06,2026-04-15,21.17,135-841,서울특별시 강남구 대치동 911-28,N,,3220000-105-2026-00006,0,3220000,"서울특별시 강남구 역삼로 446, 지하1층 (대치동)",06201,01,영업/정상,기타 집단급식소,02-512-2373,,,
,임대,"서울연세요양원,개운통합요양원",기타 집단급식소,,284447.034636298,426956.479401189,2026-04-16 21:13:05,I,01,영업,180.63,,,,,,0,0,,2026-04-15 17:13:51,2026-04-14,180.63,,강원특별자치도 원주시 개운동 277-17,N,,4191000-105-2026-00003,0,4191000,"강원특별자치도 원주시 남원로 652, 지하1층 (개운동)",26442,01,영업/정상,기타 집단급식소,,,,
,,(의)사랑나눔의료재단에보스의원,병원,2026-04-15,196752.76401348,450838.597606871,2026-04-16 03:03:03,U,02,폐업,45,,,,,,,0,,2026-04-15 14:02:50,2003-05-21,115.50,120-013,"서울특별시 서대문구 충정로3가 464 충정타워빌딩 지하1층 122,1호",N,,3120000-105-2003-00004,,3120000,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 지하1층 122,123호 (충정로3가)",03742,03,폐업,병원,,,,상수도전용
기타,,멀티캠퍼스,산업체,,203432.135786923,444342.305278792,2026-04-16 03:03:03,U,01,영업,431.74,,,,0,기타,,,,2026-04-15 10:57:19,1997-10-08,110.24,135-920,서울특별시 강남구 역삼동 718-5,N,0,3220000-105-1997-00094,,3220000,서울특별시 강남구 테헤란로 212 (역삼동),06220,01,영업/정상,산업체,02-3429-5959,,,상수도전용
,,(주)제이에스티나,산업체,,210652.561690102,443715.250067436,2026-04-16 03:03:03,U,01,영업,100,,,,,,0,0,,2026-04-15 17:42:58,2007-10-31,290.00,138-803,서울특별시 송파구 가락동 77-1 (주)로만손사옥지상11층,N,,3230000-105-2007-00014,0,3230000,"서울특별시 송파구 양재대로62길 53 (가락동,(주)로만손사옥지상11층)",05717,01,영업/정상,산업체,02-2190-7012,,,상수도전용
