영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,글램노래바,룸살롱,,186318.449831744,447470.974728264,2026-04-16 03:03:03,U,01,영업,74.16,,,,,,,,,2026-04-15 13:51:39,2015-07-14,74.16,157-909,서울특별시 강서구 화곡동 901-27 태양빌딩 지하 1층,N,,3150000-102-2015-00001,,3150000,"서울특별시 강서구 강서로7길 31, 태양빌딩 지하 1층 (화곡동)",07777,01,영업/정상,룸살롱,,,,
,,대포차(大포차),기타,,202139.326641492,459501.147199015,2026-04-16 03:03:03,U,01,영업,325.59,,,,,,,,,2026-04-15 11:39:50,2024-05-09,325.59,142-878,서울특별시 강북구 수유동 229-5 정우빌딩,Y,,3080000-102-2024-00002,,3080000,"서울특별시 강북구 도봉로 333, 정우빌딩 지하1층 (수유동)",01073,01,영업/정상,기타,,,,
,,신짜우(XINCHAO)노래바,노래클럽,,174246.546777488,437720.86991095,2026-04-16 03:03:03,U,01,영업,110.71,,,,,,,,,2026-04-15 15:55:29,2017-11-22,110.71,405-220,인천광역시 남동구 구월동 1534-2 구월신세계프라자 303호,Y,,3530000-102-2017-00015,,3530000,"인천광역시 남동구 선수촌공원로 25, 3층 303호 (구월동, 구월신세계프라자)",21582,01,영업/정상,노래클럽,,,,
유흥업소밀집지역,,보스,룸살롱,,174189.853765764,440310.128422368,2026-04-16 03:03:03,U,01,영업,105.64,,,,,,,,,2026-04-15 11:47:31,2019-10-02,105.64,405-803,인천광역시 남동구 간석동 176-5 4층,Y,,3530000-102-2019-00005,,3530000,"인천광역시 남동구 남동대로922번길 14, 4층 (간석동)",21544,01,영업/정상,룸살롱,,,,상수도전용
,,준 노래클럽,기타,,-5150.06595885922,497871.17958902,2026-04-16 03:03:03,U,01,영업,90,,,,,,,,,2026-04-15 11:04:57,1983-11-04,90.00,409-912,인천광역시 옹진군 백령면 북포리 473-4,Y,,3580000-102-1983-00001,,3580000,"인천광역시 옹진군 백령면 당후길 22, 2층",23103,01,영업/정상,기타,,,,
,,지지(GG),룸살롱,,175683.304119845,443389.710684945,2026-04-16 03:03:03,U,01,영업,98.8,,,,,,,,,2026-04-15 11:44:40,2012-04-09,98.80,403-738,인천광역시 부평구 부평동 155-6 지하,Y,,3540000-102-2012-00004,,3540000,"인천광역시 부평구 시장로20번길 16, 지하1층 (부평동)",21395,01,영업/정상,룸살롱,032-517-3336,,,
유흥업소밀집지역,,청춘노래장,룸살롱,,204585.386222045,471005.106401141,2026-04-16 03:03:03,U,01,영업,81.6,,,,,,,,,2026-04-15 13:20:17,2010-04-02,81.60,480-840,경기도 의정부시 의정부동 31-9 지하1층,N,,3820000-102-2010-00006,,3820000,"경기도 의정부시 호국로1336번길 61 (의정부동,지하1층)",11693,01,영업/정상,룸살롱,031-848-3980,,,상수도전용
