사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
뉴스케치약국,,198649.348421152,451055.233068828,2026-04-16 22:32:16,I,0000,정상,2026-04-15 10:47:09,,2026-04-15,,,서울특별시 중구 충무로2가 66-8,301000001120260011,3010000,000,"서울특별시 중구 명동8가길 9, 1층 (충무로2가)",04536,,01,영업/정상,,,
슬기약국,,204911.210628232,456498.098027475,2026-04-16 22:02:13,I,0000,정상,2026-04-15 09:39:06,,2026-04-15,,,서울특별시 성북구 장위동 64-121,307000001120260003,3070000,000,"서울특별시 성북구 화랑로 245, 1층 104-2호 (장위동)",02772,,01,영업/정상,,,
관악약국,,195840.28850447,442328.48270342,2026-04-16 22:02:10,I,0000,정상,2026-04-15 14:41:54,,2026-04-15,,,서울특별시 관악구 봉천동 859-40,320000001120260004,3200000,000,"서울특별시 관악구 관악로 201, 1층 (봉천동)",08745,,01,영업/정상,,,
정문온누리약국,,170769.619693893,434086.853084875,2026-04-16 22:33:41,I,0000,정상,2026-04-15 16:10:25,,2026-04-15,,,"인천광역시 연수구 동춘동 937-1 대산프라자 112, 113호",352000001120260003,3520000,000,"인천광역시 연수구 앵고개로246번길 10, 대산프라자 112,113호 (동춘동)",21972,,01,영업/정상,,,
광교호랑이약국,,206022.38941624,421149.340843283,2026-04-16 21:32:12,I,0000,정상,2026-04-15 09:43:03,,2026-04-15,,,경기도 수원시 영통구 하동 984 116호,374000001120260017,3740000,000,"경기도 수원시 영통구 광교중앙로266번길 30, 116호 (하동)",16512,,01,영업/정상,,,
늘봄온누리약국,,210695.897738774,422209.252061388,2026-04-16 21:32:14,I,0000,정상,2026-04-15 09:40:59,,2026-04-15,,,경기도 용인시 기흥구 마북동 167-2,563000001120260005,4050000,000,"경기도 용인시 기흥구 마북로 125, 1층 (마북동)",16910,,01,영업/정상,,,
정겨운약국,,209846.886381683,419914.500217418,2026-04-16 21:32:14,I,0000,정상,2026-04-15 10:12:06,,2026-04-15,,,경기도 용인시 기흥구 구갈동 351 구갈스포츠센타,563000001120260006,4050000,000,"경기도 용인시 기흥구 구갈로 74, 구갈스포츠센타 111호 (구갈동)",16972,,01,영업/정상,,,
횡성백세약국,,286952.510132655,443159.181340829,2026-04-16 21:02:10,I,0000,정상,2026-04-15 13:46:09,,2026-04-15,,,강원특별자치도 횡성군 횡성읍 읍하리 601 횡성벨라시티 114호,426100001120260001,4261000,000,"강원특별자치도 횡성군 횡성읍 횡성로 371, 114호 (횡성벨라시티)",25234,,01,영업/정상,,,
