사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
사조푸디스트주식회사 세븐일레븐영종하얏트점,,151916.378983327,437733.282970468,제7조의3제3항에따른경우,2026-04-16 03:03:03,U,2020-08-03,0,정상영업,2026-04-15 19:23:58,,2020-08-03,,인천광역시 중구 운서동 2850-1 그랜드하얏트인천 이스트타워,2020349019105600059,3490000,"인천광역시 중구 영종해안남로321번길 208, 그랜드하얏트인천 직원식당 지하1층 (운서동)",22382,01,영업/정상,,,
주식회사 블루베이프 부평구청역지점,2026-04-15,175242.788052249,444803.410524827,제7조의3제3항에따른경우,2026-04-16 03:03:03,U,2024-01-15,2,폐업처리,2026-04-15 09:49:05,,2024-01-15,,인천광역시 부평구 부평동 954 부평구청역대명벨리온,2024354016105600008,3540000,"인천광역시 부평구 부평대로 153, 부평구청역대명벨리온 상가2층 239호 (부평동)",21366,03,폐업,,,
씨스페이스 수원시청역점,2026-04-15,202857.034489272,417654.265000326,제7조의3제2항에따른경우,2026-04-16 03:03:03,U,2025-11-18,2,폐업처리,2026-04-15 13:37:09,,2025-11-18,,경기도 수원시 팔달구 인계동 1125 대원콤비프라자,2025377004105600031,3740000,"경기도 수원시 팔달구 효원로 288, 대원콤비프라자 105호 (인계동)",16491,03,폐업,,,031-238-4233
롤로 서구청점,2026-04-15,171186.126864611,449215.711151909,제7조의3제3항에따른경우,2026-04-16 03:03:03,U,2024-11-05,2,폐업처리,2026-04-15 15:19:39,,2024-11-05,,인천광역시 서구 심곡동 245-6 태영프라자,2024356028505600045,3560000,"인천광역시 서구 서곶로301번길 16, 태영프라자 5층 502호 (심곡동)",22726,03,폐업,,,
지에스더프레시(안성만정점),2026-04-15,215505.75269851,388878.943685339,제7조의3제2항에따른경우,2026-04-16 03:03:03,U,2025-10-24,2,폐업처리,2026-04-15 17:18:38,,2025-10-24,,경기도 안성시 공도읍 만정리 274-3,2025408026205600039,4080000,"경기도 안성시 공도읍 공도로 132, 1층 108호",17559,03,폐업,,,
고촌낚시 할인마트,2026-04-15,168627.037902444,463107.762480908,제7조의3제2항에따른경우,2026-04-16 03:03:03,U,2022-05-09,2,폐업처리,2026-04-15 14:51:06,,2022-05-09,,경기도 김포시 양촌읍 누산리 622-2,2022409039905600027,4090000,"경기도 김포시 양촌읍 김포대로 1752, 1층",10052,03,폐업,,,
(주)청담 아이스크림,,199174.846374282,417727.812558008,제7조의3제2항에따른경우,2026-04-16 03:03:03,U,2024-10-17,1,휴업처리,2026-04-15 10:56:46,,2024-10-17,,경기도 수원시 권선구 서둔동 433 가온팰리스,2024376003405600039,3740000,"경기도 수원시 권선구 권선로357번길 33, B동 1층 112호 (서둔동)",16619,02,휴업,2026-04-15,2026-05-14,
