사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
송연직업소개소,,개인,198685.761389454,452015.63212884,2026-05-22 03:03:03,U,20,영업중,2026-05-21 17:35:34,2008-11-24,,서울특별시 종로구 종로2가 12 통일빌딩,2014300016914500014,3000000,"서울특별시 종로구 종로 77, 통일빌딩 4층 404호 (종로2가)",03164,01,영업/정상,유료,02-730-9565
업사이드(UP-SIDE),2026-05-21,개인,207311.175792021,457610.711998051,2026-05-22 03:03:03,U,50,타시군구이관,2026-05-21 09:56:32,2024-04-08,,서울특별시 노원구 공릉동 89-1 대덕프라자 111호,2024310018414500001,3100000,"서울특별시 노원구 노원로1길 67, 대덕프라자 111호 (공릉동)",01827,05,제외/삭제/전출,유료,
미소인력,2026-05-21,개인,205803.176820325,462570.513349934,2026-05-22 03:03:03,U,40,폐업,2026-05-21 13:42:10,2025-03-18,,서울특별시 노원구 상계동 456-126 새홍익미술학원,2025310018414500001,3100000,"서울특별시 노원구 한글비석로52길 22, 새홍익미술학원 지층 (상계동)",01655,03,폐업,유료,
영일인력,,개인,201878.611148863,459310.781749252,2026-05-22 03:03:03,U,20,영업중,2026-05-21 14:13:01,2022-03-24,,서울특별시 강북구 수유동 7-3,2022308016914500002,3080000,"서울특별시 강북구 수유로 76-1, 1층 (수유동)",01081,01,영업/정상,유료,
소원소개소,,개인,201654.031425186,445398.655507383,2026-05-22 03:03:03,U,20,영업중,2026-05-21 16:09:53,2009-05-19,,서울특별시 서초구 잠원동 40-9 세기빌딩,2009321011414500014,3210000,"서울특별시 서초구 신반포로 329, 세기빌딩 3층 307호 (잠원동)",06531,01,영업/정상,유료,02-514-3199
희망인력,2026-05-21,개인,159068.823130222,443546.875036633,2026-05-22 03:03:03,U,40,폐업,2026-05-21 09:21:43,2015-06-15,,인천광역시 중구 운남동 124번지 5호,2015349012014500006,3490000,인천광역시 중구 운중로 40 (운남동),,03,폐업,유료,032-751-4348
팔복인력,,개인,170026.529682576,455705.754216877,2026-05-22 03:03:03,U,20,영업중,2026-05-21 16:31:18,2021-11-08,,인천광역시 서구 마전동 983-7 보현빌딩,2021356020514500013,3560000,"인천광역시 서구 검단로 516, 보현빌딩 703호 (마전동)",22635,01,영업/정상,유료,032-568-8838
