사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
8에스디자인,,173750.390635558,438911.57492191,2026-05-22 03:03:03,U,20,정상,2026-05-21 10:08:31,2026-05-20,인천광역시 남동구 구월동 ****-** SR노빌리안* ****호,2024353025208500004,3530000,"인천광역시 남동구 미래로 **, SR노빌리안* ****호 (구월동)",21558,,"광고물 디자인, 제작",01,영업/정상,,,
주식회사 다드림애드,2026-05-21,170665.539886075,443060.329789648,2026-05-22 03:03:03,U,40,폐업,2026-05-21 17:01:09,2025-08-18,인천광역시 서구 가좌동 ***-*,2025356026808500007,3560000,"인천광역시 서구 건지로***번길 ***, *층 (가좌동)",22837,,옥외광고사업,03,폐업,,,
