건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
,,,동양사,일반세탁업,2026-05-21,,,,204362.64718057,457080.520266341,2026-05-22 03:03:03,U,02,폐업,,2026-05-21 17:13:28,1996-01-17,26.73,136-833,서울특별시 성북구 장위동 237-145,N,,3070000-205-1996-02544,3070000,서울특별시 성북구 돌곶이로 167-2 (장위동),02767,,03,폐업,일반세탁업,02-918-1272,,,,,
0,임대,0,경은 크린플,빨래방업,2026-05-21,,,,215381.778387618,436629.24285333,2026-05-22 03:03:03,U,02,폐업,2,2026-05-21 16:44:34,2013-04-22,80.00,462-807,경기도 성남시 중원구 상대원동 442-13 중일아인스프라츠 2층 201호,N,2,3800000-205-2013-00002,3780000,"경기도 성남시 중원구 둔촌대로 519, 중일아인스프라츠 2층 201호 (상대원동)",13216,0,03,폐업,빨래방업,031-744-7309,1,0,1,0,2
