사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
해피타임,2026-05-21,197713.264843734,451938.037703258,2009년11월법개정전자료,2026-05-22 03:03:03,U,2006-05-25,2,폐업처리,2026-05-21 13:24:23,,2006-05-25,,서울특별시 종로구 신문로1가 163호 광화문오피시아빌딩 지하1층 120,2006300007605600036,3000000,"서울특별시 종로구 새문안로 92 (신문로1가,광화문오피시아빌딩 지하1층 120)",,03,폐업,,,02-3276-2002
세븐일레븐 강남IBC점,2026-05-21,202677.885,444173.025,제7조의3제2항에따른경우,2026-05-22 03:03:03,U,2020-09-23,2,폐업처리,2026-05-21 09:35:00,,2020-09-23,,서울특별시 강남구 역삼동 648-1 1층,2020322024905600024,3220000,"서울특별시 강남구 테헤란로7길 8, 1층 (역삼동)",06133,03,폐업,,,1577-0711
