사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설장비,최종수정시점,인허가취소일자,인허가일자,지번주소,관리번호,타기관이전여부,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,전문인력총수
주식회사 현에스앤디,150000000,180344.096685935,443844.719069914,2026-05-22 03:03:03,U,1,영업,천공기(DH-0107),2026-05-21 14:11:17,,2023-06-13,경기도 부천시 원미구 중동 1114 위브더스테이트,C001101118537065L00,0,3860000,"경기도 부천시 원미구 신흥로 140, 위브더스테이트 9동 206호 (중동)",14574,01,영업/정상,2
주식회사 지니온,450000000,181500.171358432,444400.914500838,2026-05-22 03:03:03,U,1,영업,천공기 1대(KYG-2196),2026-05-21 14:13:57,,2025-05-15,경기도 부천시 원미구 춘의동 195 삼보테크노타워 2706호,C001211110440784L00,0,3860000,"경기도 부천시 원미구 조마루로385번길 122, 삼보테크노타워 2706호 (춘의동)",14556,01,영업/정상,2
주식회사 지온이앤씨,200000000,184472.227024617,440620.766829376,2026-05-22 03:03:03,U,1,영업,,2026-05-21 14:10:13,,2022-04-20,경기도 부천시 소사구 옥길동 794-1 우성테크노파크 1동 716호,C001358110395658L00,0,3860000,"경기도 부천시 소사구 부광로 220, 우성테크노파크Ⅰ 903호 (옥길동)",14786,01,영업/정상,2
원주민창릉(주),248661152,188844.442112711,459289.892144105,2026-05-22 03:03:03,U,1,영업,,2026-05-21 14:43:30,,2025-06-19,경기도 고양시 덕양구 원흥동 739-3,C002850110559019L00,0,3940000,"경기도 고양시 덕양구 삼원안길 52-15, 1층 (원흥동)",,01,영업/정상,2
