사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
한국방송광고진흥공사,상업용,제조,,188572.108662809,447198.912625565,2026-05-22 03:03:03,U,01,영업중,2026-05-21 11:32:56,2010-08-03,,서울특별시 양천구 목동 923-5,냉동,1997314007002100016,3140000,서울특별시 양천구 목동동로 233 (목동),,,01,영업/정상,,
현대자동차(주) 의왕연구소,,제조,,,,2026-05-22 03:03:03,U,01,영업중,2026-05-21 14:38:39,2024-10-22,,인천광역시 서구 백석동 0 실증실험시설-1,일반,2024356028302100002,3560000,"인천광역시 서구 녹색숲로22번길 30, 실증실험시설-1 (백석동)",22688,,01,영업/정상,,
남동소방서(담방119안전센터),,제조,,176838.502472912,437493.401434281,2026-05-22 03:03:03,U,01,영업중,2026-05-21 09:17:00,2017-11-30,,인천광역시 남동구 만수동 1049-2 서창119안전센터,충전,2017353017902200002,3530000,"인천광역시 남동구 매소홀로 1044, 서창119안전센터 (만수동)",21598,,01,영업/정상,,
디씨케이원(주),,제조,,174375.443141564,446232.280876905,2026-05-22 03:03:03,U,01,영업중,2026-05-21 13:15:36,2024-06-13,,인천광역시 부평구 청천동 422,냉동,2024354016502100001,3540000,,,,01,영업/정상,,
