영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,서울서부경찰서복지위원회,공공기관,,192981.976661413,455527.945030163,2026-05-22 03:03:03,U,01,영업,29,,,,,,0,0,,2026-05-21 09:34:29,2017-12-14,90.80,122-711,서울특별시 은평구 녹번동 177-15 서울서부경찰서,N,,3110000-105-2017-00021,0,3110000,"서울특별시 은평구 진흥로 58, 서울서부경찰서 4층 (녹번동)",03458,01,영업/정상,공공기관,02-383-8906,,,상수도전용
,,홈플러스(주) 인천송도점,산업체,,169499.618663809,430950.250482797,2026-05-22 03:03:03,U,01,영업,50.93,,,,,,0,0,,2026-05-21 14:21:15,2015-10-02,196.64,406-081,인천광역시 연수구 송도동 168-3 홈플러스송도점 지하1층,N,,3520000-105-2015-00026,0,3520000,"인천광역시 연수구 송도국제대로 165, 지하1층 (송도동, 홈플러스 송도점)",21984,01,영업/정상,산업체,032-220-8051,,,상수도전용
,,삼영테크,산업체,2026-05-21,172513.319630921,433674.756809652,2026-05-22 03:03:03,U,02,폐업,21.38,,,,,,,,,2026-05-21 10:25:50,2017-11-16,85.10,405-817,인천광역시 남동구 고잔동 627-6 1층일부,N,,3530000-105-2017-00058,,3530000,"인천광역시 남동구 청능대로 263, 1층 일부호 (고잔동)",21633,03,폐업,산업체,,,,상수도전용
