영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,트레이더스 홀세일 클럽 군포점,기타식품판매업,,194143.227537911,426457.360631877,2026-05-22 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-05-21 10:45:27,2017-12-08,526.70,435-020,경기도 군포시 부곡동 1227-1 지하1층 일부,N,,4020000-114-2017-00001,,4020000,"경기도 군포시 삼성로 74, 지하1층 일부호 (부곡동)",15874,01,영업/정상,기타식품판매업,031-361-3456,,,
,임대,롯데쇼핑(주) 롯데마트 김포한강점,기타식품판매업,,171471.604963288,459839.83969575,2026-05-22 03:03:03,U,01,영업,3623.15,,,,,,,,,2026-05-21 14:43:21,2017-09-05,"3,623.15",415-060,경기도 김포시 장기동 2031 1층,N,,4090000-114-2017-00007,,4090000,"경기도 김포시 김포한강2로 41, 1층 (장기동)",10090,01,영업/정상,기타식품판매업,031-8049-2500,,,
