건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
1,,1,크린플러스 사회적협동조합,건물위생관리업,,,,,189518.792684476,443470.780801376,2026-05-22 03:03:03,U,01,영업,0,2026-05-21 10:56:27,2015-01-20,41.40,152-853,서울특별시 구로구 구로동 409-27 101호,N,0,3160000-206-2015-00002,3160000,"서울특별시 구로구 구로동로35나길 17, 101호 (구로동)",08286,01,영업/정상,건물위생관리업,,,,,
0,,0,(주)두리씨앤씨,건물위생관리업,2026-05-10,,,,183310.626609467,451859.278347177,2026-05-22 03:03:03,U,02,폐업,0,2026-05-21 16:31:35,2018-10-22,57.36,157-851,서울특별시 강서구 방화동 597-10 우리빌딩,N,0,3150000-206-2018-00020,3150000,"서울특별시 강서구 금낭화로 40, 우리빌딩 4층 (방화동)",07607,03,폐업,건물위생관리업,02-6246-2278,5,0,5,0
0,임대,0,(주)영원에스엠,건물위생관리업,,,,,212251.603548884,448345.727351302,2026-05-22 03:03:03,U,01,영업,0,2026-05-21 13:56:45,2016-09-12,42.90,134-880,서울특별시 강동구 길동 389-2,N,0,3240000-206-2016-00022,3240000,"서울특별시 강동구 양재대로 1471, 동선빌딩 4층 415호 (길동)",05353,01,영업/정상,건물위생관리업,02-478-4974,1,,1,
0,,0,국제종합관리(주),건물위생관리업,,,,,175306.45991148,444361.271006513,2026-05-22 03:03:03,U,01,영업,,2026-05-21 17:46:26,1999-11-10,180.23,403-819,인천광역시 부평구 부평동 464-28 새마을금고 5층 501호 일부,N,,3540000-206-1999-00001,3540000,"인천광역시 부평구 부평대로 109, 새마을금고 5층 501호 일부호 (부평동)",21379,01,영업/정상,건물위생관리업,032-514-0770,5,0,5,0
0,,0,위레일테크(주),건물위생관리업,,,,,175306.45991148,444361.271006513,2026-05-22 03:03:03,U,01,영업,,2026-05-21 17:45:00,2024-03-19,28.10,403-819,인천광역시 부평구 부평동 464-28 새마을금고 5층 501호 일부호,N,,3540000-206-2024-00004,3540000,"인천광역시 부평구 부평대로 109, 새마을금고 5층 501호 일부호 (부평동)",21379,01,영업/정상,건물위생관리업,,5,0,5,0
0,,0,(주)고스,건물위생관리업,2026-05-21,,,,205311.283256449,420682.801161761,2026-05-22 03:03:03,U,02,폐업,0,2026-05-21 14:16:00,2025-05-12,33.75,443-280,경기도 수원시 영통구 하동 1016 광교 효성해링턴 타워,N,0,5610000-206-2025-00004,3740000,"경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 17층 1713호 (하동)",16514,03,폐업,건물위생관리업,,,,,
