영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,즐거운노래바,룸살롱,,192775.441248036,457293.41165271,2026-05-22 03:03:03,U,01,영업,65.58,,,,,,,,,2026-05-21 11:03:21,2001-11-27,65.58,122-959,서울특별시 은평구 갈현동 456-24 2층,N,,3110000-102-2001-08171,,3110000,"서울특별시 은평구 연서로27길 8-6, 2층 (갈현동)",03331,01,영업/정상,룸살롱,02-356-2322,,,
,,주파수,룸살롱,2026-05-21,201684.704785227,446105.858997581,2026-05-22 03:03:03,U,02,폐업,539.29,,,,,,,,,2026-05-21 11:35:47,2022-04-15,539.29,135-887,서울특별시 강남구 신사동 502-11 영일빌딩,N,,3220000-102-2022-00001,,3220000,"서울특별시 강남구 강남대로 620, 영일빌딩 지1층 (신사동)",06035,03,폐업,룸살롱,,,,
유흥업소밀집지역,,쇼,룸살롱,,193610.378560826,442802.92355539,2026-05-22 03:03:03,U,01,영업,60.43,,,,,,,,,2026-05-21 13:33:44,2008-02-18,60.43,151-892,서울특별시 관악구 신림동 1431-1 지상2층,N,,3200000-102-2008-00003,,3200000,"서울특별시 관악구 신림로 373, 지상2층 (신림동)",08760,01,영업/정상,룸살롱,,,,상수도전용
유흥업소밀집지역,,벤츠,룸살롱,,166676.175100177,441069.110305326,2026-05-22 03:03:03,U,01,영업,99.11,,,,1,,,,,2026-05-21 16:40:51,2013-05-08,99.11,400-014,인천광역시 중구 중앙동4가 2-6 2층,Y,1,3490000-102-2013-00003,,3490000,"인천광역시 중구 개항로 10-1 (중앙동4가, 2층)",22314,01,영업/정상,룸살롱,032-773-5400,,,상수도전용
유흥업소밀집지역,,퀸,룸살롱,,169026.641378507,435121.222783418,2026-05-22 03:03:03,U,01,영업,71.42,,,,,,,,,2026-05-21 15:31:50,2012-04-05,71.42,406-835,인천광역시 연수구 옥련동 550-7 지상3층 301호 301호,Y,,3520000-102-2012-00003,,3520000,"인천광역시 연수구 능허대로 203 (옥련동, 지상3층 301호)",21945,01,영업/정상,룸살롱,032-812-9755,,,상수도전용
,,루이,룸살롱,,176670.557328086,448161.309575535,2026-05-22 03:03:03,U,01,영업,349.58,,,,,,,,,2026-05-21 14:56:05,2008-01-09,349.58,407-813,인천광역시 계양구 계산동 1081-7,Y,,3550000-102-2008-00001,,3550000,"인천광역시 계양구 계양문화로 54, 2층 201호 (계산동)",21069,01,영업/정상,룸살롱,032-549-5008,,,
