축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,오리마루,,211431.844666706,477599.548540012,2026-05-22 03:03:03,U,0000,정상,2026-05-21 10:54:16,,2006-03-09,0,,경기도 포천시 소흘읍 이동교리 361-1,식육포장처리업,560000000420060001,5600000,000,"경기도 포천시 소흘읍 호국로 308-19, 가동",11184,,01,영업/정상,,,
,식육포장처리업,은혜유통,,174733.594792375,471568.514228764,2026-05-22 03:03:03,U,0000,정상,2026-05-21 11:26:42,,2026-04-21,0,,경기도 파주시 연다산동 116,식육포장처리업,406000010420260001,4060000,000,"경기도 파주시 모련안길 47-20, 1동 동측102호 (연다산동)",10864,,01,영업/정상,,,
,식육포장처리업,소잡는녀석들,2026-05-21,203280.718210054,451843.790703425,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 14:25:16,,2015-05-20,0,,"서울특별시 성동구 마장동 520-4 1층,지하1층",식육포장처리업,303000010420150021,3030000,000,"서울특별시 성동구 마장로31길 29-1, 1층,지하1층 (마장동)",04749,,03,폐업,,,
,식육포장처리업,한울미트,,236526.648493407,429028.537547175,2026-05-22 03:03:03,U,0000,정상,2026-05-21 15:34:33,,2011-07-18,759,,경기도 광주시 곤지암읍 만선리 68-6,식육포장처리업,554000010420110011,5540000,000,경기도 광주시 곤지암읍 내선길 82-10,12721,,01,영업/정상,,,031-798-9150
,식육포장처리업,(주)농업회사법인 샘미트코리아,,200684.870569381,404993.539788112,2026-05-22 03:03:03,U,0000,정상,2026-05-21 09:28:21,,2015-08-13,0,,경기도 화성시 효행구 정남면 망월리 212,식육포장처리업,553000010420150005,5530000,L00,"경기도 화성시 효행구 정남면 정남동로 317-2, 317-3",18514,,01,영업/정상,,,031-377-5102
,식육포장처리업,노벨식품,2026-05-21,183179.419906965,446938.375793801,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 15:30:52,,2004-08-06,25.1,,경기도 부천시 오정구 원종동 341-14,식육포장처리업,386000000420040001,3860000,000,경기도 부천시 오정구 원종로93번길 10 (원종동),14418,,03,폐업,,,032-681-1971
