사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
Pet168너2025,,196900.139226513,449832.386160475,2026-05-22 22:32:50,I,0000,정상,,2026-05-21 18:52:30,,2026-05-21,0,,서울특별시 용산구 청파동*가 *-** 홍은빌라,302000005020260003,3020000,000,"서울특별시 용산구 효창원로***라길 *, C동 ***호 (청파동*가, 홍은빌라)",04304,,01,영업/정상,,,
pet172너3143,,202314.47965444,457821.853133872,2026-05-22 22:02:50,I,0000,정상,,2026-05-21 13:16:27,,2026-05-21,0,,서울특별시 강북구 미아동 **** 두원프라자 ***호,308000005020260003,3080000,000,"서울특별시 강북구 도봉로 ***, ***호 (미아동, 두원프라자)",01171,,01,영업/정상,,,
pet233마5883,,201849.092906033,461606.576544858,2026-05-22 22:02:50,I,0000,정상,,2026-05-21 09:32:09,,2026-05-21,0,,서울특별시 도봉구 방학동 *** 우성*차아파트,309000005020260002,3090000,000,"서울특별시 도봉구 해등로 ***, ***동 ***호 (방학동, 우성*차아파트)",01373,,01,영업/정상,,,
pet111조4349,,199337.25706585,443132.365207741,2026-05-22 22:02:50,I,0000,정상,,2026-05-21 11:21:08,,2026-05-21,0,,서울특별시 서초구 방배동 ***-*,321000005020260002,3210000,000,서울특별시 서초구 방배로**길 ** (방배동),06586,,01,영업/정상,,,
pet299루5867,2026-05-20,207092.80498092,470764.954109231,2026-05-22 03:03:03,U,0002,폐업,,2026-05-21 15:35:20,,2026-03-30,0,,경기도 의정부시 용현동 ***-* 신도**차 파크힐타운 ***동 ***호,382000005020260006,3820000,000,"경기도 의정부시 용현로 **, ***동 *층 ***호 (용현동, 신도**차 파크힐타운)",11786,,03,폐업,,,
pet32누7016,2026-05-21,203395.243285729,460589.783543578,2026-05-22 03:03:03,U,0002,폐업,,2026-05-21 17:05:54,,2025-09-02,0,,서울특별시 도봉구 창동 ***-**,309000005020250004,3090000,000,"서울특별시 도봉구 노해로**길 **-**, *층 (창동)",01483,,03,폐업,,,
